DATE,CLOSE,PREDICT
2010/2/3,41.3,46
2010/2/4,42.2,46
2010/2/5,43,47
2010/2/8,42.7,47
2010/2/9,43,47
2010/2/10,42.41,47
2010/2/11,43.46,48
2010/2/12,42.8,47
2010/2/22,42.5,47
2010/2/23,42.52,47
2010/2/24,43.95,48
2010/2/25,45.85,50
2010/2/26,45.96,50
2010/3/1,46.14,50
2010/3/2,45.99,50
2010/3/3,45.9,50
2010/3/4,46.12,50
2010/3/5,45,49
2010/3/8,45.05,49
2010/3/9,44.48,49
2010/3/10,44.13,48
2010/3/11,44.18,48
2010/3/12,44.4,49
2010/3/15,42.98,48
2010/3/16,41.9,46
2010/3/17,42.31,47
2010/3/18,43.16,47
2010/3/19,43.28,48
2010/3/22,43.1,48
2010/3/23,42.85,47
2010/3/24,42.32,47
2010/3/25,42.69,47
2010/3/26,42.87,47
2010/3/29,43.3,48
2010/3/30,43.32,48
2010/3/31,43.32,48
2010/4/1,42.5,47
2010/4/2,42.3,47
2010/4/6,40.34,45
2010/4/7,41.21,46
2010/4/8,41.54,46
2010/4/9,41.1,45
2010/4/12,42.3,47
2010/4/13,44,48
2010/4/14,43.7,48
2010/4/15,43,47
2010/4/16,42.85,47
2010/4/19,42.91,48
2010/4/20,41.2,46
2010/4/21,41.05,46
2010/4/22,41.38,46
2010/4/23,40.56,46
2010/4/26,39.5,44
2010/4/27,40.8,45
2010/4/28,41.55,46
2010/4/29,41.66,47
2010/4/30,40.5,46
2010/5/4,37.25,42
2010/5/5,36.85,42
2010/5/6,36.06,41
2010/5/7,34.18,38
2010/5/10,34.25,38
2010/5/11,34.49,38
2010/5/12,34.45,38
2010/5/13,34.1,37
2010/5/14,35.61,40
2010/5/17,35.29,40
2010/5/18,33.5,37
2010/5/19,34.1,38
2010/5/20,34.35,38
2010/5/21,33.78,37
2010/5/24,34.02,37
2010/5/25,35.12,39
2010/5/26,34.48,38
2010/5/27,35.13,39
2010/5/28,35.67,40
2010/5/31,36.13,41
2010/6/1,35.05,40
2010/6/2,33.8,37
2010/6/3,35.01,39
2010/6/4,35.01,40
2010/6/7,34.05,39
2010/6/8,31.8,35
2010/6/9,31.72,34
2010/6/10,32.42,36
2010/6/11,32.1,35
2010/6/17,32.09,35
2010/6/18,32.74,36
2010/6/21,32.21,35
2010/6/22,33.04,37
2010/6/23,32.88,36
2010/6/24,32.54,33
2010/6/25,21.22,22
2010/6/28,21.2,22
2010/6/29,20.1,21
2010/6/30,18.89,18
2010/7/1,19.24,19
2010/7/2,19.23,19
2010/7/5,19.24,20
2010/7/6,18.48,18
2010/7/7,18.86,18
2010/7/8,19.23,19
2010/7/9,18.95,18
2010/7/12,20,20
2010/7/13,20.2,20
2010/7/14,20.23,20
2010/7/15,20.6,21
2010/7/16,20.28,21
2010/7/19,20.32,20
2010/7/20,20.94,21
2010/7/21,21.86,23
2010/7/22,21.76,22
2010/7/23,22.32,23
2010/7/26,22.79,24
2010/7/27,22.65,24
2010/7/28,22.2,23
2010/7/29,22.89,24
2010/7/30,22.61,24
2010/8/2,22.75,24
2010/8/3,23.16,25
2010/8/4,23,24
2010/8/5,23.25,25
2010/8/6,23.12,24
2010/8/9,23.74,25
2010/8/10,23.94,26
2010/8/11,23.74,26
2010/8/12,23.18,25
2010/8/13,21.45,22
2010/8/16,21.4,21
2010/8/17,22.3,23
2010/8/18,23,24
2010/8/19,22.76,24
2010/8/20,22.68,24
2010/8/23,22.35,23
2010/8/24,22.71,23
2010/8/25,23.58,25
2010/8/26,22.99,24
2010/8/27,22.98,24
2010/8/30,23.15,24
2010/8/31,23.89,25
2010/9/1,24.84,27
2010/9/2,25,27
2010/9/3,25.13,27
2010/9/6,26.23,29
2010/9/7,26.34,29
2010/9/8,26.4,29
2010/9/9,26.73,30
2010/9/10,26.27,29
2010/9/13,26.27,28
2010/9/14,27.37,30
2010/9/15,29.3,34
2010/9/16,28.76,33
2010/9/17,28.07,32
2010/9/20,28.02,32
2010/9/21,27.34,31
2010/9/27,26.54,29
2010/9/28,26.99,31
2010/9/29,25.34,28
2010/9/30,24.72,27
2010/10/8,24.65,26
2010/10/11,26.25,29
2010/10/12,25.9,28
2010/10/13,26.15,29
2010/10/14,26.15,29
2010/10/15,25.52,28
2010/10/18,25.69,28
2010/10/19,26.48,29
2010/10/20,27.5,30
2010/10/21,28.42,32
2010/10/22,28.13,31
2010/10/25,28.85,32
2010/10/26,29.95,34
2010/10/27,29.63,34
2010/10/28,28.13,32
2010/10/29,27.95,31
2010/11/1,27.65,31
2010/11/2,28.1,32
2010/11/3,27.78,31
2010/11/4,27.78,30
2010/11/5,29.35,34
2010/11/8,28.8,33
2010/11/9,28.17,32
2010/11/10,28.06,32
2010/11/11,27.85,31
2010/11/12,27.84,32
2010/11/15,25.45,28
2010/11/16,25.48,28
2010/11/17,25.05,27
2010/11/18,24.8,27
2010/11/19,25.01,26
2010/11/22,26.43,28
2010/11/23,28,31
2010/11/24,28.12,31
2010/11/25,28.29,32
2010/11/26,27.95,32
2010/11/29,27.02,30
2010/11/30,26.57,29
2010/12/1,26.57,30
2010/12/2,26.06,28
2010/12/3,26.87,30
2010/12/6,26.36,29
2010/12/7,26.89,30
2010/12/8,27.2,30
2010/12/9,27.15,30
2010/12/10,27.15,30
2010/12/13,27.89,31
2010/12/14,29.44,33
2010/12/15,29.79,34
2010/12/16,28.72,32
2010/12/17,29.03,33
2010/12/20,28.43,32
2010/12/21,27.85,31
2010/12/22,28.96,33
2010/12/23,28.8,33
2010/12/24,27.9,32
2010/12/27,27.24,31
2010/12/28,26.25,29
2010/12/29,26.02,28
2010/12/30,26.57,29
2010/12/31,26.76,29
2011/1/4,27.3,29
2011/1/5,27.2,29
2011/1/6,26.61,28
2011/1/7,26.66,28
2011/1/10,26.85,28
2011/1/11,27,28
2011/1/12,27.2,29
2011/1/13,27.03,29
2011/1/14,26.76,28
2011/1/17,26.27,28
2011/1/18,24.88,26
2011/1/19,24.76,25
2011/1/20,25.01,26
2011/1/21,23.95,24
2011/1/24,23.69,23
2011/1/25,24.4,25
2011/1/26,23.93,24
2011/1/27,24.4,24
2011/1/28,25.25,26
2011/1/31,25.57,26
2011/2/1,26.38,28
2011/2/9,26.03,26
2011/2/10,27.1,28
2011/2/11,27.5,29
2011/2/14,27.86,29
2011/2/15,28.78,31
2011/2/16,28.35,30
2011/2/17,29.03,31
2011/2/18,29,32
2011/2/21,28.56,30
2011/2/22,31.42,35
2011/2/23,31.3,34
2011/2/24,31.98,36
2011/2/25,30.97,34
2011/2/28,30.71,33
2011/3/1,32.3,36
2011/3/2,31.66,35
2011/3/3,31.25,35
2011/3/4,30.8,34
2011/3/7,31.12,34
2011/3/8,31.14,34
2011/3/9,30.9,34
2011/3/10,32,36
2011/3/11,31.79,35
2011/3/14,31.69,35
2011/3/15,33.45,38
2011/3/16,32.41,36
2011/3/17,33.78,39
2011/3/18,32.1,36
2011/3/21,31.6,36
2011/3/22,30.71,34
2011/3/23,31.1,34
2011/3/24,31.31,34
2011/3/25,31.51,35
2011/3/28,31.25,35
2011/3/29,30.3,34
2011/3/30,29.55,32
2011/3/31,29.61,32
2011/4/1,30,33
2011/4/6,29.99,33
2011/4/7,29.25,32
2011/4/8,29.09,31
2011/4/11,29.56,33
2011/4/12,28.69,31
2011/4/13,28.42,30
2011/4/14,29.46,32
2011/4/15,29,31
2011/4/18,28.9,31
2011/4/19,28.98,32
2011/4/20,28.39,30
2011/4/21,29.15,31
2011/4/22,29.36,32
2011/4/25,28.79,31
2011/4/26,28.7,31
2011/4/27,28.48,31
2011/4/28,28.55,32
2011/4/29,27.2,29
2011/5/3,27.58,29
2011/5/4,27.58,30
2011/5/5,26.26,27
2011/5/6,26.22,27
2011/5/9,26.82,28
2011/5/10,27.12,28
2011/5/11,27.5,29
2011/5/12,27.41,30
2011/5/13,26.58,28
2011/5/16,26.4,28
2011/5/17,26.38,28
2011/5/18,26.38,27
2011/5/19,26.85,28
2011/5/20,27.28,29
2011/5/23,27,29
2011/5/24,26.08,27
2011/5/25,26.31,28
2011/5/26,25.51,26
2011/5/27,25.5,26
2011/5/30,25.59,26
2011/5/31,25.74,27
2011/6/1,25.99,27
2011/6/2,26.11,28
2011/6/3,25.42,26
2011/6/7,26.28,27
2011/6/8,26.79,28
2011/6/9,26.5,28
2011/6/10,26.27,28
2011/6/13,26.2,28
2011/6/14,25.7,26
2011/6/15,26.7,28
2011/6/16,26.66,28
2011/6/17,26.17,27
2011/6/20,26.18,28
2011/6/21,25.4,26
2011/6/22,25.89,27
2011/6/23,25.63,26
2011/6/24,26.51,27
2011/6/27,26.94,28
2011/6/28,27.08,28
2011/6/29,27.52,29
2011/6/30,27.71,29
2011/7/1,28.28,30
2011/7/4,28.29,30
2011/7/5,28.66,31
2011/7/6,28.11,30
2011/7/7,28.47,32
2011/7/8,23.34,24
2011/7/11,23.49,24
2011/7/12,23.28,24
2011/7/13,22.79,23
2011/7/14,23.24,24
2011/7/15,23.04,23
2011/7/18,23.63,24
2011/7/19,23.86,25
2011/7/20,23.47,24
2011/7/21,23.04,24
2011/7/22,22.4,23
2011/7/25,22.22,23
2011/7/26,21.55,21
2011/7/27,21.63,21
2011/7/28,21.92,22
2011/7/29,21.98,22
2011/8/1,21.62,21
2011/8/2,21.83,22
2011/8/3,21.77,22
2011/8/4,21.45,21
2011/8/5,21.28,22
2011/8/8,20.27,20
2011/8/9,19.67,19
2011/8/10,19.42,19
2011/8/11,19.21,19
2011/8/12,17.96,16
2011/8/15,18.09,17
2011/8/16,18.34,17
2011/8/17,18.26,17
2011/8/18,18.34,17
2011/8/19,18.03,17
2011/8/22,17.71,16
2011/8/23,17.67,16
2011/8/24,17.85,16
2011/8/25,18.1,16
2011/8/26,18.63,17
2011/8/29,18.93,18
2011/8/30,18.74,18
2011/8/31,18.43,17
2011/9/1,18.65,17
2011/9/2,19.29,19
