y	y_pred
41.3	46
42.2	46
43	47
42.7	47
43	47
42.41	47
43.46	48
42.8	47
42.5	47
42.52	47
43.95	48
45.85	50
45.96	50
46.14	50
45.99	50
45.9	50
46.12	50
45	49
45.05	49
44.48	49
44.13	48
44.18	48
44.4	49
42.98	48
41.9	46
42.31	47
43.16	47
43.28	48
43.1	48
42.85	47
42.32	47
42.69	47
42.87	47
43.3	48
43.32	48
43.32	48
42.5	47
42.3	47
40.34	45
41.21	46
41.54	46
41.1	45
42.3	47
44	48
43.7	48
43	47
42.85	47
42.91	48
41.2	46
41.05	46
41.38	46
40.56	46
39.5	44
40.8	45
41.55	46
41.66	47
40.5	46
37.25	42
36.85	42
36.06	41
34.18	38
34.25	38
34.49	38
34.45	38
34.1	37
35.61	40
35.29	40
33.5	37
34.1	38
34.35	38
33.78	37
34.02	37
35.12	39
34.48	38
35.13	39
35.67	40
36.13	41
35.05	40
33.8	37
35.01	39
35.01	40
34.05	39
31.8	35
31.72	34
32.42	36
32.1	35
32.09	35
32.74	36
32.21	35
33.04	37
32.88	36
32.54	33
21.22	22
21.2	22
20.1	21
18.89	18
19.24	19
19.23	19
19.24	20
18.48	18
18.86	18
19.23	19
18.95	18
20	20
20.2	20
20.23	20
20.6	21
20.28	21
20.32	20
20.94	21
21.86	23
21.76	22
22.32	23
22.79	24
22.65	24
22.2	23
22.89	24
22.61	24
22.75	24
23.16	25
23	24
23.25	25
23.12	24
23.74	25
23.94	26
23.74	26
23.18	25
21.45	22
21.4	21
22.3	23
23	24
22.76	24
22.68	24
22.35	23
22.71	23
23.58	25
22.99	24
22.98	24
23.15	24
23.89	25
24.84	27
25	27
25.13	27
26.23	29
26.34	29
26.4	29
26.73	30
26.27	29
26.27	28
27.37	30
29.3	34
28.76	33
28.07	32
28.02	32
27.34	31
26.54	29
26.99	31
25.34	28
24.72	27
24.65	26
26.25	29
25.9	28
26.15	29
26.15	29
25.52	28
25.69	28
26.48	29
27.5	30
28.42	32
28.13	31
28.85	32
29.95	34
29.63	34
28.13	32
27.95	31
27.65	31
28.1	32
27.78	31
27.78	30
29.35	34
28.8	33
28.17	32
28.06	32
27.85	31
27.84	32
25.45	28
25.48	28
25.05	27
24.8	27
25.01	26
26.43	28
28	31
28.12	31
28.29	32
27.95	32
27.02	30
26.57	29
26.57	30
26.06	28
26.87	30
26.36	29
26.89	30
27.2	30
27.15	30
27.15	30
27.89	31
29.44	33
29.79	34
28.72	32
29.03	33
28.43	32
27.85	31
28.96	33
28.8	33
27.9	32
27.24	31
26.25	29
26.02	28
26.57	29
26.76	29
27.3	29
27.2	29
26.61	28
26.66	28
26.85	28
27	28
27.2	29
27.03	29
26.76	28
26.27	28
24.88	26
24.76	25
25.01	26
23.95	24
23.69	23
24.4	25
23.93	24
24.4	24
25.25	26
25.57	26
26.38	28
26.03	26
27.1	28
27.5	29
27.86	29
28.78	31
28.35	30
29.03	31
29	32
28.56	30
31.42	35
31.3	34
31.98	36
30.97	34
30.71	33
32.3	36
31.66	35
31.25	35
30.8	34
31.12	34
31.14	34
30.9	34
32	36
31.79	35
31.69	35
33.45	38
32.41	36
33.78	39
32.1	36
31.6	36
30.71	34
31.1	34
31.31	34
31.51	35
31.25	35
30.3	34
29.55	32
29.61	32
30	33
29.99	33
29.25	32
29.09	31
29.56	33
28.69	31
28.42	30
29.46	32
29	31
28.9	31
28.98	32
28.39	30
29.15	31
29.36	32
28.79	31
28.7	31
28.48	31
28.55	32
27.2	29
27.58	29
27.58	30
26.26	27
26.22	27
26.82	28
27.12	28
27.5	29
27.41	30
26.58	28
26.4	28
26.38	28
26.38	27
26.85	28
27.28	29
27	29
26.08	27
26.31	28
25.51	26
25.5	26
25.59	26
25.74	27
25.99	27
26.11	28
25.42	26
26.28	27
26.79	28
26.5	28
26.27	28
26.2	28
25.7	26
26.7	28
26.66	28
26.17	27
26.18	28
25.4	26
25.89	27
25.63	26
26.51	27
26.94	28
27.08	28
27.52	29
27.71	29
28.28	30
28.29	30
28.66	31
28.11	30
28.47	32
23.34	24
23.49	24
23.28	24
22.79	23
23.24	24
23.04	23
23.63	24
23.86	25
23.47	24
23.04	24
22.4	23
22.22	23
21.55	21
21.63	21
21.92	22
21.98	22
21.62	21
21.83	22
21.77	22
21.45	21
21.28	22
20.27	20
19.67	19
19.42	19
19.21	19
17.96	16
18.09	17
18.34	17
18.26	17
18.34	17
18.03	17
17.71	16
17.67	16
17.85	16
18.1	16
18.63	17
18.93	18
18.74	18
18.43	17
18.65	17
19.29	19
18.75	18
17.98	17
17.5	16
17.82	17
17.83	17
17.65	16
17.8	16
17.91	16
18.27	17
18.64	18
18.53	18
18.4	17
19.15	19
18.72	18
18.45	17
18.59	17
19.25	18
19.4	19
18.95	18
18.9	18
18.3	18
17.05	15
17.31	16
17.37	16
17.22	16
17.43	17
16.77	16
16.2	15
15.89	14
15.99	14
16.39	14
16.95	15
