index,date,open,high,low,close,volume,increase,increaserate,change,PE,PB,A-index,communicaiton-index,label
000063.SZ,2019-12-31,34.6,36.28,34.42,35.39,135154282,1.04,3.0277,3.8961,-21.4232,6.534,1802.2899,3623.154,1
000063.SZ,2019-12-30,33.38,34.63,33.21,34.35,86198543,0.71,2.1106,2.4849,-20.7931,6.3418,1792.4143,3588.8364,1
000063.SZ,2019-12-27,34.01,34.28,33.5,33.64,63917054,-0.26,-0.767,1.8426,-20.3633,6.2107,1776.111,3558.5327,0
000063.SZ,2019-12-26,33.78,34.05,33.45,33.9,45610528,0.15,0.4444,1.315,-20.5187,6.2581,1788.2342,3604.9911,1
000063.SZ,2019-12-25,32.93,34.21,32.83,33.75,82451923,0.63,1.9022,2.3772,-20.4279,6.2304,1775.4156,3595.5286,1
000063.SZ,2019-12-24,32.41,33.24,32.2,33.12,67034339,0.86,2.6658,1.9327,-20.0466,6.1141,1768.6244,3551.8421,1
000063.SZ,2019-12-23,33.1,33.11,32.21,32.26,73193452,-1.11,-3.3263,2.1103,-19.526,5.9554,1744.532,3487.2505,0
000063.SZ,2019-12-20,34.2,34.51,33.34,33.37,90154046,-1.12,-3.2473,2.5993,-20.1979,6.1603,1778.6739,3597.018,0
000063.SZ,2019-12-19,34.02,34.8,33.81,34.49,88462027,0.24,0.7007,2.5505,-20.8758,6.367,1792.0503,3672.2059,1
000063.SZ,2019-12-18,33.56,35.19,33.41,34.25,131263846,0.66,1.9649,3.7845,-20.7305,6.3227,1788.3027,3680.3979,1
000063.SZ,2019-12-17,33.62,33.95,33.2,33.59,93164551,0.04,0.1192,2.6861,-20.331,6.2009,1787.625,3679.3109,1
000063.SZ,2019-12-16,33.4,33.7,32.89,33.55,88707147,0.35,1.0542,2.5575,-20.3068,6.1935,1764.2223,3623.1452,1
000063.SZ,2019-12-13,33.31,33.54,32.61,33.2,105139898,0.35,1.0654,3.0313,-20.095,6.1289,1737.1268,3564.3376,1
000063.SZ,2019-12-12,31.85,33.11,31.66,32.85,120946876,1.0,3.1397,3.4871,-19.8831,6.0643,1711.7615,3544.465,1
000063.SZ,2019-12-11,31.98,32.36,31.65,31.85,39200002,-0.23,-0.717,1.1302,-19.2779,5.8797,1715.0619,3513.0537,0
000063.SZ,2019-12-10,31.57,32.3,31.34,32.08,63615020,0.48,1.519,1.8341,-19.4171,5.9221,1722.7384,3535.3487,1
000063.SZ,2019-12-09,31.9,31.94,31.5,31.6,44010443,-0.31,-0.9715,1.2689,-19.1265,5.8335,1716.1194,3489.8648,0
