Date,Bid,Descript,pred
2010/2/4,000063.SZ,鑺辨棗 璋?楂?涓叴閫氳 鐩爣浠?鑷?娓厓 ,-1
2010/2/5,000063.SZ,鑺辨棗 涓叴閫氳 鐩爣浠?鍏?涔板叆 璇勭骇 ,1
2010/2/9,000063.SZ,涓叴閫氳 瓒?鏉冭瘉琛?鏉?鎴愭湰 鏈夋湜 铻嶈祫 浜?,-1
2010/2/18,000063.SZ,娉?绂?璧勪骇 涓叴閫氳 鐩爣浠?娓厓 ,1
2010/2/21,000063.SZ,涓叴閫氳 棰勮 鍏?缁堢浜у搧 闇€姹?鏃虹洓 ,1
2010/2/24,000063.SZ,澶?琛?瑷€璁?涓叴閫氳 HK 閫嗗競 鍗?閫?澶у崕 缁ф樉 缁存寔 涔板叆 璇勭骇 ,1
2010/2/24,000063.SZ,澶у崕 缁ф樉 缁存寔 涓叴閫氳 涔板叆 璇勭骇 鐩爣浠?娓厓 ,1
2010/2/24,000063.SZ,鍥戒俊 璇佸埜 涓叴閫氳 鍚庡競 鑲′环 灏?鏈?鏇?澶?绌洪棿 ,1
2010/2/24,000063.SZ,涓俊璇佸埜 涓叴閫氳 鐩堝埄 姘村钩 灏?杩涗竴姝?鎻愬崌 ,1
2010/2/25,000063.SZ,涓叴閫氳 琛屼笟 鏈夋櫙缁?鐪嬫定 鐩爣浠?娓厓 ,1
2010/3/11,000063.SZ,涓叴閫氳 鑱斿悎 娌冭揪涓?寮€璁?鐮斿彂 瀹為獙瀹?,1
2010/3/25,000063.SZ,涓叴閫氳 鎼烘墜 鍏ㄧ悆 鐩熷弸 鍙戝姏 绉诲姩 浜掕仈缃?,1
2010/4/3,000063.SZ,涓叴閫氳 鎹㈠竻 閬亣 缃曡 鏀鹃噺 澶ц穼 ,1
2010/4/8,000063.SZ,涓叴閫氳 骞?鍑€鍒╂鼎 鍚屾瘮 澧炶繎 浜旀垚 ,-1
2010/4/9,000063.SZ,浜т笟 涓叴閫氳 骞存敹鍏?閫?,1
2010/4/9,000063.SZ,涓叴閫氳 骞?璧勬湰鏀嚭 灏?瓒呰繃 浜烘皯甯?,-1
2010/4/9,000063.SZ,涓噾鍏徃 涓叴閫氳 鎹熺泭 绗﹀悎 棰勬湡 ,-1
2010/4/9,000063.SZ,涓叴閫氳 鍥藉唴 涓氬姟 鍘诲勾 澧炲箙 杈?,-1
2010/4/16,000063.SZ,澶ч€?璇佸埜 涓叴閫氳 涓氱哗 绗﹀悎 棰勬湡 ,1
2010/4/16,000063.SZ,涓叴 涓?鍗庝负 鍏ㄧ悆鎺掑悕 鍙屽弻 涓婂崌 ,1
2010/4/28,000063.SZ,涓俊 寤烘姇 涓叴閫氳 鍗婂勾 鍐?鐩爣浠?鍏?,1
2010/4/30,000063.SZ,涓叴閫氳 璺屽彈 鍗板害 绂佹 杩涘彛 涓浗 浜?鐢典俊 璁惧 鎶ュ 鎷栫疮 ,1
2010/5/10,000063.SZ,涓噾鍏徃 涓叴閫氳 浼板€?鍚稿紩鍔?娴幇 ,1
2010/5/12,000063.SZ,涓叴閫氳 琛ㄧず 灏?閬靛畧 鍗板害鏀垮簻 鐨?瀹夊叏 瑙勫畾 ,-1
2010/5/12,000063.SZ,涓叴閫氳 绉版 鑰冭檻 鍦?鍗板害 寮€璁?宸ュ巶 ,1
2010/5/13,000063.SZ,涓叴 閫氳繀 楂樺眰 浼氭櫎 鍗板害 瀹夊叏 浜嬪姟 瀹樺憳 ,1
2010/5/13,000063.SZ,涓腐 涓偂 涓叴 閫氳繀 楂樺眰 涓?鍗板害 瀹夊叏 浜嬪姟 瀹樺憳 浼氶潰 ,-1
2010/5/17,000063.SZ,涓叴閫氳 鍏ㄥ姏 鎶曞叆 TDLTE ,-1
2010/5/18,000063.SZ,涓叴 鍐€ 鎵嬫満 涓氬姟 骞?鍗犳垚 ,1
2010/6/1,000063.SZ,涓叴閫氳 鎵嬫満 缁堢 绱 閿€閲?璺昏韩 鍏ㄧ悆 鍓嶄簲 ,-1
2010/6/2,000063.SZ,涓叴 鍗板害 鎬昏 琛ㄦ€?涓?鍙兘 鍦?闂磋皪 鍏徃 鏈嶅姟 ,1
2010/6/4,000063.SZ,鍏夊ぇ 璇佸埜 鍗板害 瑙ｇ 涓浗鐢典俊 璁惧 鍒╁ソ 涓叴閫氳 ,1
2010/6/17,000063.SZ,涓叴 鑾蜂腑 鐢典俊 浜?鍚堢害 ,1
2010/6/18,000063.SZ,闀挎睙 璇佸埜 鎸佺画 鐪嬪ソ 閫氫俊 绯荤粺 琛屼笟 ,-1
2010/6/19,000063.SZ,涓叴閫氳 鍥虹綉 瀹藉甫 浜у搧 灞?鍏ㄧ悆 绗簩 ,1
2010/6/28,000063.SZ,涓叴閫氳 鍦?鍗板凹 寤?CDMA 鍟嗙敤 缃?浜や粯 涓?鍩虹珯 ,1
2010/7/5,000063.SZ,涓叴 鐙 涓爣 鍦熻€冲叾 鐢典俊 鍏ㄧ綉 IP 鍖?鏀归€?澶у崟 ,1
2010/7/5,000063.SZ,鍥戒俊 璇佸埜 璀︽儠 閫氫俊 杩愯惀 涓?璁惧 琛屼笟 鎶曡祫 鎷愮偣 ,1
2010/7/8,000063.SZ,浜у搧 閬?鍗板害 鏆傛椂 绂佸敭 涓叴閫氳 鍏ㄥ勾 钀ユ敹 鎴?闄?,-1
2010/7/8,000063.SZ,瀹変俊 璇佸埜 涓叴閫氳 浠峰€?閲嶄及 鍥?姣涘埄鐜?涓婂崌 ,1
2010/7/16,000063.SZ,涓叴閫氳 鏂ヨ祫 浜?娌虫簮 寤?鍩哄湴 ,1
2010/7/17,000063.SZ,涓叴 浜?娌虫簮 寤?鐮斿彂 鍩哄湴 ,1
2010/7/17,000063.SZ,涓叴閫氳 鎷?鎶曡祫 浜垮缓 鐢熶骇 鐮斿彂 鍩硅鍩哄湴 ,-1
2010/7/22,000063.SZ,涓摱鍥介檯 涓叴閫氳 涓嬪崐骞?鍓嶆櫙 鍚?濂?,1
2010/7/26,000063.SZ,涓叴閫氳 鎷?娑夋按 澶栨眹 琛嶇敓鍝?,1
2010/7/29,000063.SZ,鍥戒俊 璇佸埜 鎺ㄨ崘 鎸?闇€ 閰嶇疆 閫氫俊 琛屼笟 涓?缁勫悎 ,1
2010/8/9,000063.SZ,涓叴閫氳 宸?鍚屾剰 閬靛畧 鍗板害 鏂?鐨?鐢典俊 瀹夊叏 瑙勫畾 ,1
2010/8/13,000063.SZ,涓叴閫氳 婢勬竻 鏈夊叧 绌哄３鍏徃 鎶ラ亾 ,1
2010/8/13,000063.SZ,瀹変俊 璇佸埜 涓叴閫氳 鏆磋穼 甯︽潵 浠嬪叆 鏈轰細 ,1
2010/8/16,000063.SZ,鎽╅€氬崌 涓叴 鑷?澧炴寔 涓婅皟 鐩爣浠?鑷冲厓 ,1
2010/8/19,000063.SZ,涓叴閫氳 涓湡 鍑€鍒?鍚屾瘮 澧為€句竴鎴?,1
2010/8/19,000063.SZ,涓叴閫氳 涓婂崐骞?鍑€鍒╂鼎 澧為暱 鑷?浜烘皯甯?,-1
2010/8/19,000063.SZ,涓叴閫氳 棣栧 閫氳繃 鍗板害 鐢典俊 鏂版斂 ,-1
2010/8/20,000063.SZ,涓俊璇佸埜 涓叴閫氳 鎸佺画 鎴愰暱 鍔?瀹炶川鎬?鎻愬崌 ,1
2010/8/20,000063.SZ,涓噾鍏徃 涓叴閫氳 涓?鎶?椋庨櫓 閲婃斁 鎶兼敞 涓嬪崐骞?,1
2010/8/23,000063.SZ,涓叴閫氳 灏?鎶曡祫 琛嶇敓鍝?浠?闄嶄綆 姹囧厬 椋庨櫓 ,-1
2010/8/23,000063.SZ,涓叴閫氳 鑾峰緱 浜跨編鍏?璁㈠崟 ,-1
2010/8/23,000063.SZ,涓叴閫氳 灏?鍦?鍖堢墮鍒?寤鸿 鐢典俊 缃戠粶 ,1
2010/8/23,000063.SZ,涓叴閫氳 灏?涓?TelenorHungary 寤鸿 鐢典俊 缃戠粶 ,-1
2010/8/23,000063.SZ,涓叴閫氳 鎴戜滑 涓嶆槸 绗簩涓?鍗庝负 ,1
2010/8/23,000063.SZ,涓叴閫氳 璧㈠緱 浜?娆у厓 鍚堝悓 ,1
2010/9/1,000063.SZ,涓叴閫氳 纭畾 骞?鍥藉唴 浼佷笟 缃?绗竴 鐩爣 ,1
2010/9/1,000063.SZ,鍥借埅 鎼烘墜 鍢夋儬 鍥介檯 涓?涓叴閫氳 绛剧讲 鏈嶅姟 鍗忚 ,1
2010/9/3,000063.SZ,涓滄柟 璇佸埜 涓叴閫氳 灏?杩庢潵 鍥藉唴 G 鏈洪亣 ,-1
2010/9/7,000063.SZ,娆х洘 鎷?瀵瑰崕 涓?涓?涓叴 瀹炴柦 绗簩杞?鍙嶅€鹃攢 璋冩煡 ,1
2010/9/7,000063.SZ,鍏夊ぇ 璇佸埜 缁欎簣 涓叴閫氳 浠婂勾 鐩爣浠?鍏?,1
2010/9/11,000063.SZ,涓叴閫氳 鑾?PTN 浜у搧 鏈€鍏?绔炰簤鍔?濂?,1
2010/9/14,000063.SZ,涓叴閫氳 鐙 鑾峰緱 娉㈠叞 CDMA 璁㈠崟 ,-1
2010/9/16,000063.SZ,涓俊 寤烘姇 涓叴閫氳 杩庢潵 瀹濊吹 鍙戝睍 鏈洪亣 ,1
2010/9/17,000063.SZ,闀垮煄 璇佸埜 鍥涘搴?閫氫俊 琛屼笟 鍏虫敞 涓?涓婚 ,1
