labels,recall,f1
一带一路,0.5,0.6
上市,0.9629629629629629,0.8666666666666665
业绩下降,0.7272727272727273,0.761904761904762
业绩增长,0.7333333333333333,0.7857142857142856
中标,0.9130434782608695,0.9545454545454545
举牌,0.9090909090909091,0.9090909090909091
交易所关注,0.8,0.8421052631578948
交易所处罚,0.5333333333333333,0.6666666666666667
交易所问询,0.9230769230769231,0.7741935483870968
借壳,0.8709677419354839,0.8709677419354839
停牌,1.0,0.9803921568627451
其他公告,0.9933774834437086,0.9933774834437086
冲高,0.9285714285714286,0.9285714285714286
净利下降,0.967741935483871,0.8695652173913043
净利增长,0.8125,0.742857142857143
减持,0.8928571428571429,0.8287292817679559
分红,0.9354838709677419,0.9508196721311476
创新低,0.25,0.3333333333333333
创新高,0.8,0.7272727272727272
利好公告,0.9090909090909091,0.9302325581395349
利好消息,0.6176470588235294,0.4468085106382979
利差消息,0.43333333333333335,0.3611111111111111
募资,0.868421052631579,0.904109589041096
双十一,0.0,0.0
发展不利,0.9,0.9
发行债券,0.9886363636363636,0.9720670391061453
发行股票,0.0,0.0
可转债,0.96875,0.9841269841269841
回应传闻,0.75,0.8372093023255814
回购,0.72,0.782608695652174
基金,0.9811320754716981,0.9454545454545454
增持,0.9797979797979798,0.9603960396039605
复牌,0.9017857142857143,0.9223744292237444
大宗交易,0.64,0.7710843373493975
官司案件违规违纪,0.48333333333333334,0.5979381443298969
定期报告,0.9553571428571429,0.9661399548532732
客观涨,0.9444444444444444,0.8644067796610169
客观跌,0.8,0.7887323943661971
工商变更,1.0,1.0
市场占有率利好,0.8,0.888888888888889
异常交易,0.8888888888888888,0.9411764705882353
快速发展,0.575,0.6571428571428571
战略合作,0.8780487804878049,0.888888888888889
投建,0.75,0.7894736842105262
投资,0.8888888888888888,0.8791208791208792
拓展业务,0.9230769230769231,0.7741935483870968
挂牌,1.0,1.0
摘帽,1.0,1.0
收购并购,0.9787234042553191,0.9484536082474226
改革,0.6,0.6666666666666665
政策利好,0.6333333333333333,0.7169811320754716
机构悲观,0.0,0.0
机构看好,0.6857142857142857,0.7868852459016394
板块走弱,0.6153846153846154,0.6666666666666667
概念板块走强,0.8181818181818182,0.8411214953271028
注册资本变更,0.0,0.0
混改,0.7777777777777778,0.8750000000000001
登上龙虎榜,0.8571428571428571,0.923076923076923
绩优股,0.0,0.0
聘请高管,0.1,0.18181818181818182
股价倒挂,0.6,0.7499999999999999
股权激励,0.8627450980392157,0.8073394495412843
股权转让,1.0,0.962962962962963
董事会股东会监事会,0.9903846153846154,0.9321266968325792
证券资讯,0.9,0.9473684210526316
证监会受理,1.0,0.9500000000000001
证监会处罚,0.8235294117647058,0.7999999999999999
证监会核准,0.8666666666666667,0.9285714285714286
评级下调,0.875,0.9333333333333333
评级利好,0.75,0.7999999999999999
质押,0.9512195121951219,0.975
资产冻结,1.0,1.0
资产重组,0.8918918918918919,0.8571428571428571
资金流入,0.7692307692307693,0.5128205128205128
资金流出,0.6428571428571429,0.6666666666666666
退市,1.0,1.0
预计下滑,0.7142857142857143,0.8
预计增长,0.9166666666666666,0.8918918918918918
首次公开发行股票,0.8,0.8421052631578948
高管减持或离职,0.9444444444444444,0.9577464788732395
